platform,username,display_name,url,followers,video_count,relevance_score,category,description,is_live,email,region
YouTube,UC8eJxPzmvTb12v7LlZUJcLQ,Happy Learning English,https://youtube.com/channel/UC8eJxPzmvTb12v7LlZUJcLQ,488000,776,5.0,YouTube,"Happy Learning is a new channel with educational videos for kids of all ages, in which parents, teachers and students can find complementary contents to their own curricular ones. 

We educate by ente",False,,Global
YouTube,UCpbpfcZfo-hoDAx2m1blFhg,Blocks Universe,https://youtube.com/channel/UCpbpfcZfo-hoDAx2m1blFhg,4930000,1500,1.0,YouTube,"The Alphablocks are 26 living letters who discover that whenever they hold hands and make a word, something magical happens. With adventures, songs and silliness, it’s tons of fun with words – all bui",False,,Global
YouTube,UCjdkAvy-ii4bHBzmuKVUUDA,Smile and Learn - Français,https://youtube.com/channel/UCjdkAvy-ii4bHBzmuKVUUDA,231000,113,1.0,YouTube,"Bienvenue sur la chaîne éducative de Smile and Learn! Si tu veux que les enfants sourient et apprennent, cette chaine est faite pour toi. Abonne-toi !

Tu découvriras un contenu unique, amusant et édu",False,,Global
YouTube,UCG2CL6EUjG8TVT1Tpl9nJdg,Ms Rachel - Toddler Learning Videos,https://youtube.com/channel/UCG2CL6EUjG8TVT1Tpl9nJdg,18700000,120,5.0,YouTube,"Toddler Learning Videos and Baby Learning Videos with a real teacher, Ms Rachel! Ms Rachel uses techniques recommended by speech therapists and early childhood experts to help children learn important",False,,Global
YouTube,UCqQ3x6tiwbkjqcqXlRs7OxA,learning,https://youtube.com/channel/UCqQ3x6tiwbkjqcqXlRs7OxA,4380,336,1.0,YouTube,"Jugador competitivo :)

",False,,Global
